460369.00,11.49,14.00,93814.78,208.93,-0.33,-5.75,-0.20,96.75,-7.56,86.44,-4.56,29.69,-3.25,9.25,58.94,2.62,-1.29,-9.65,-1.15,0.81,3.95,0.66,0.47,-0.58,0.46,-0.48,1.00,145.70,10.34,63.42,
460799.00,11.49,14.00,93546.11,233.00,-0.53,-2.24,-0.85,99.50,-3.75,117.00,-2.06,30.19,-2.88,0.69,58.12,2.44,-0.64,-9.65,-1.61,0.06,7.48,0.88,0.35,-0.68,0.55,-0.33,1.00,145.90,10.34,63.42,
460834.00,11.48,14.00,93531.33,234.33,-0.49,-1.97,-0.71,99.88,-3.19,120.19,-2.06,30.19,-2.88,-4.25,73.19,-8.88,-0.55,-9.64,-1.68,0.05,7.67,0.96,0.34,-0.68,0.56,-0.32,1.00,145.90,10.34,63.42,
460874.00,11.49,14.00,93509.23,236.31,-0.80,-1.94,-0.21,100.44,-2.44,124.06,-2.38,29.50,-3.19,-7.44,78.75,-14.50,-0.41,-9.63,-1.78,-0.41,7.58,1.41,0.33,-0.69,0.56,-0.30,1.00,145.90,10.34,63.42,
460912.00,11.49,14.00,93488.16,238.20,-0.66,-2.12,-0.20,100.94,-1.81,126.88,-2.25,30.50,-3.19,-2.62,74.06,-9.38,-0.28,-9.62,-1.88,-0.08,7.82,1.40,0.32,-0.70,0.57,-0.28,1.00,145.90,10.34,63.42,
460946.00,11.50,14.00,93471.36,239.71,-0.92,-1.99,-0.28,101.19,-1.31,130.25,-0.50,29.56,-2.75,2.06,71.44,-2.06,-0.22,-9.61,-1.90,-0.69,7.61,1.62,0.31,-0.71,0.58,-0.27,1.00,145.90,10.34,63.42,
460993.00,11.51,14.00,93437.92,242.71,-0.62,-2.18,-0.20,101.12,-0.62,134.50,-0.50,29.56,-2.75,0.56,74.50,3.25,-0.11,-9.61,-1.90,-0.39,7.30,1.41,0.29,-0.72,0.59,-0.25,1.00,145.90,10.34,63.42,
461031.00,11.49,14.00,93424.95,243.88,-0.45,-2.26,-0.43,101.06,-0.25,137.06,-0.88,29.06,-2.75,1.44,73.38,4.44,-0.02,-9.62,-1.87,-0.73,7.33,1.37,0.27,-0.72,0.59,-0.23,1.00,145.90,10.34,63.42,
461068.00,11.47,14.00,93395.40,246.53,-0.23,-2.53,-0.51,100.94,0.25,140.62,-1.56,29.88,-2.75,-1.56,75.31,1.25,0.05,-9.62,-1.86,-0.28,7.08,1.35,0.26,-0.73,0.60,-0.21,1.00,145.90,10.34,63.42,
461109.00,11.49,14.00,93377.54,248.13,-0.11,-2.36,-0.60,100.94,1.00,144.44,-0.06,29.88,-2.38,-5.69,77.06,-0.88,0.17,-9.62,-1.86,-0.29,7.26,1.25,0.25,-0.73,0.61,-0.19,1.00,145.90,10.34,63.42,
461143.00,11.50,14.00,93352.84,250.35,-0.49,-3.00,-0.47,100.94,1.75,148.31,-0.06,29.88,-2.38,-5.88,78.44,-3.69,0.30,-9.62,-1.86,-0.69,6.69,1.41,0.23,-0.73,0.61,-0.17,1.00,145.90,10.34,63.42,
461183.00,11.50,14.00,93331.77,252.25,-0.52,-2.86,-0.37,101.00,2.62,152.25,-1.25,30.25,-2.88,-6.12,77.38,-6.00,0.45,-9.61,-1.87,-0.69,6.94,1.38,0.22,-0.74,0.62,-0.15,1.00,145.90,10.34,63.42,
461221.00,11.50,14.00,93313.33,253.90,-0.37,-3.37,-0.22,101.06,3.19,155.12,-1.25,29.25,-2.06,-4.56,78.25,-6.56,0.55,-9.60,-1.88,-1.01,6.36,1.45,0.21,-0.74,0.62,-0.13,1.00,145.90,10.34,63.42,
