Monte Carlo initialized
	Thrust varience frequency: 50
	Thrust varience: 100
	Drag deviation: 0.016

Wind:
Pink wind
----------------
alpha: 6.993
alt0: 30.000
speed0: 5.000
direction: 1.858

Iteration           Delta [ms]          Time [ms]           Apogee [m]          
3475:               2643                9966204             3205.15             
3476:               2733                9968937             3327.38             
3477:               2675                9971613             3251.29             
3478:               2655                9974268             3247.99             
3479:               2691                9976959             3190.18             
3480:               2737                9979697             3183.15             
3481:               2632                9982329             3178.59             
3482:               2677                9985010             3231.71             
3483:               2639                9987650             3126.67             
3484:               2725                9990376             3183.51             
3485:               2640                9993016             3316.42             
3486:               2643                9995659             3188.25             
3487:               2753                9998413             3155.32             
3488:               2675                10001088            3064.95             
3489:               2624                10003712            3104.67             
3490:               2831                10006544            3116.84             
3491:               2749                10009299            3199.43             
3492:               2659                10011959            3394.88             
3493:               2619                10014591            3014.73             
3494:               2610                10017206            3222.71             
3495:               2741                10019948            3112.17             
3496:               2683                10022642            3115.27             
3497:               2653                10025295            3132.29             
3498:               2718                10028014            3338.63             
3499:               2663                10030677            3129.88             
3500:               2624                10033302            3230.81             
3501:               2612                10035928            3239.37             
3502:               2749                10038681            3196.63             
3503:               2659                10041341            3226.15             
3504:               2639                10043981            3234.13             
3505:               2616                10046597            3151.02             
3506:               2725                10049323            3179.69             
3507:               2643                10051967            3201.82             
3508:               2702                10054669            3221.59             
3509:               2643                10057313            3158.22             
3510:               2720                10060034            3256.9              
3511:               2688                10062722            3241.11             
3512:               2679                10065401            3231.74             
3513:               2831                10068238            3277.67             
3514:               2643                10070890            3163.03             
3515:               2687                10073577            3169.15             
3516:               2612                10076190            3062.89             
3517:               2718                10078922            3229.48             
3518:               2616                10081538            3179.02             
3519:               2640                10084178            3131.46             
3520:               2628                10086807            3132.9              
3521:               2765                10089572            3176.12             
3522:               2612                10092184            3186.05             
3523:               2608                10094808            3277.44             
3524:               2616                10097424            3090.81             
3525:               2689                10100115            3132.8              
3526:               2625                10102740            3213.84             
3527:               2640                10105380            3175.73             
3528:               2718                10108098            3209.03             
3529:               2616                10110715            3274.92             
3530:               2626                10113342            3230.72             
3531:               2629                10115972            3102.96             
3532:               2764                10118737            3218.63             
3533:               2761                10121500            3338.27             
3534:               2661                10124161            3167.35             
3535:               2800                10126961            3209.96             
3536:               2736                10129697            3205.17             
3537:               2692                10132390            3175.44             
3538:               2655                10135045            3268.45             
3539:               2612                10137658            3179.36             
3540:               2733                10140392            3125.08             
3541:               2643                10143036            3227.03             
3542:               2640                10145676            3088.28             
3543:               2757                10148433            3247.82             
3544:               2640                10151073            3172.57             
3545:               2599                10153673            3091.97             
3546:               2641                10156314            3199.13             
3547:               2737                10159052            3226.42             
3548:               2624                10161676            3238.84             
3549:               2678                10164355            3087.86             
3550:               2655                10167011            3221.61             
3551:               2733                10169754            3097.6              
3552:               2624                10172392            3180.8              
3553:               2608                10175001            3286.19             
3554:               2624                10177625            3160.61             
3555:               2718                10180343            3116.71             
3556:               2640                10182984            3152.65             
3557:               2640                10185624            3209.39             
3558:               2860                10188485            3080.97             
3559:               2642                10191128            3222.35             
3560:               2643                10193772            3202.96             
3561:               2608                10196393            3282.64             
3562:               2722                10199116            3261.23             
3563:               2640                10201756            3181.47             
3564:               2632                10204389            3278.44             
3565:               2624                10207013            3220.51             
3566:               2722                10209747            3123.32             
3567:               2624                10212384            3243.56             
3568:               2612                10214997            3317.37             
3569:               2640                10217637            3186.18             
3570:               2721                10220359            3131.72             
3571:               2625                10222984            3237.83             
3572:               2624                10225609            3175.34             
3573:               2718                10228327            3245.33             
3574:               2624                10230951            3098.16             
3575:               2624                10233575            3088.59             
3576:               2624                10236200            3204.08             
3577:               2733                10238934            3248.56             
3578:               2662                10241596            3087.35             
3579:               2625                10244222            3215.4              
3580:               2789                10247014            3242.52             
3581:               2722                10249750            3234.79             
3582:               2626                10252382            3190.45             
3583:               2672                10255055            3245.48             
3584:               2659                10257714            3177.71             
3585:               2749                10260464            3146.62             
3586:               2663                10263127            3258.6              
3587:               2639                10265767            3398.98             
3588:               2722                10268504            3067.88             
3589:               2624                10271129            3132.95             
3590:               2690                10273821            3150.82             
3591:               2608                10276440            3145.87             
3592:               2721                10279162            3146.82             
3593:               2655                10281823            3204.51             
3594:               2608                10284432            3179.93             
3595:               2624                10287056            3124.54             
3596:               2757                10289829            3262.0              
3597:               2643                10292473            3080.99             
3598:               2632                10295105            3173.15             
3599:               2608                10297714            3232.43             
3600:               2753                10300467            3228.51             
3601:               2655                10303122            3147.2              
3602:               2639                10305762            3182.84             
3603:               2827                10308590            3222.31             
3604:               2667                10311258            3251.09             
3605:               2640                10313898            3236.72             
3606:               2628                10316526            3189.63             
3607:               2733                10319260            3128.1              
3608:               2659                10321919            2987.19             
3609:               2644                10324563            3195.62             
3610:               2663                10327241            3226.86             
3611:               2756                10329997            3168.17             
3612:               2656                10332654            3141.76             
3613:               2690                10335345            3217.64             
3614:               2640                10337985            3296.63             
3615:               2706                10340691            3222.26             
3616:               2643                10343349            3176.2              
3617:               2612                10345961            3162.3              
3618:               2751                10348713            3204.08             
3619:               2656                10351370            3213.59             
3620:               2624                10353995            3179.7              
3621:               2608                10356603            3259.57             
3622:               2718                10359321            3256.85             
3623:               2655                10361977            3319.31             
3624:               2593                10364570            3163.11             
3625:               2820                10367391            3319.48             
3626:               2749                10370140            3197.22             
3627:               2633                10372774            3149.26             
3628:               2624                10375399            3231.9              
3629:               2690                10378089            3151.75             
3630:               2702                10380792            3240.42             
3631:               2628                10383420            3367.29             
3632:               2671                10386092            3134.21             
3633:               2710                10388802            3070.54             
3634:               2626                10391429            3170.14             
3635:               2610                10394053            3278.4              
3636:               2628                10396695            3112.77             
3637:               2733                10399431            3136.03             
3638:               2612                10402046            3157.89             
3639:               2659                10404716            3341.52             
3640:               2655                10407372            3161.1              
3641:               2733                10410105            3284.13             
3642:               2655                10412761            3154.74             
3643:               2649                10415410            3121.95             
3644:               2722                10418134            3326.2              
3645:               2688                10420822            3164.81             
3646:               2624                10423459            3228.35             
3647:               2761                10426221            3236.48             
3648:               2749                10428970            3269.14             
3649:               2628                10431599            3165.43             
3650:               2596                10434196            3293.25             
3651:               2659                10436855            3191.99             
3652:               2733                10439589            3298.25             
3653:               2640                10442229            3209.08             
3654:               2608                10444838            3201.72             
3655:               2639                10447478            3049.44             
3656:               2733                10450212            3316.75             
3657:               2601                10452825            3234.98             
3658:               2644                10455469            3096.19             
3659:               2624                10458094            3162.15             
3660:               2733                10460827            3116.51             
3661:               2656                10463484            3058.81             
3662:               2651                10466136            3191.59             
3663:               2740                10468876            3253.17             
3664:               2625                10471501            3259.31             
3665:               2686                10474188            3138.64             
3666:               2659                10476848            3186.28             
3667:               2733                10479582            3261.41             
3668:               2644                10482229            3150.19             
3669:               2615                10484844            3266.39             
3670:               2766                10487611            3170.47             
3671:               2753                10490364            3123.29             
3672:               2660                10493024            3183.85             
3673:               2612                10495637            3144.99             
3674:               2702                10498339            3195.37             
3675:               2632                10500971            3139.13             
3676:               2624                10503596            3141.83             
3677:               2628                10506236            3149.94             
3678:               2749                10508985            3247.26             
3679:               2624                10511609            3058.28             
3680:               2615                10514225            3122.28             
3681:               2643                10516884            3117.96             
3682:               2738                10519623            3122.4              
3683:               2643                10522267            3216.18             
3684:               2658                10524925            3184.62             
3685:               2641                10527571            3229.77             
3686:               2768                10530339            3140.32             
3687:               2624                10532973            3152.61             
3688:               2616                10535589            3261.03             
3689:               2639                10538229            3246.98             
3690:               2749                10540979            3139.87             
3691:               2639                10543619            3211.6              
3692:               2780                10546399            3121.28             
3693:               2765                10549164            3220.5              
3694:               2664                10551829            3137.36             
3695:               2639                10554469            3254.89             
3696:               2612                10557081            3113.28             
3697:               2733                10559815            3203.12             
3698:               2612                10562428            3187.36             
3699:               2597                10565025            3105.03             
3700:               2616                10567641            3093.91             
3701:               2749                10570390            3207.38             
3702:               2612                10573003            3243.86             
3703:               2671                10575679            3329.58             
3704:               2659                10578342            3225.74             
3705:               2702                10581044            3265.18             
3706:               2647                10583692            3190.8              
3707:               2611                10586303            3205.98             
3708:               2707                10589011            3284.63             
3709:               2639                10591651            3155.02             
3710:               2624                10594275            3136.89             
3711:               2624                10596900            3165.47             
3712:               2733                10599633            3147.16             
3713:               2640                10602274            3228.05             
3714:               2639                10604914            3207.96             
3715:               2805                10607719            3184.92             
3716:               2749                10610478            3249.75             
3717:               2652                10613131            3186.08             
3718:               2608                10615740            3140.81             
3719:               2659                10618399            3063.39             
3720:               2671                10621070            3218.88             
3721:               2631                10623702            3159.94             
3722:               2611                10626324            3325.74             
3723:               2769                10629107            3247.2              
3724:               2613                10631721            3072.22             
3725:               2608                10634330            3139.77             
3726:               2643                10636974            3184.68             
3727:               2720                10639694            3285.25             
3728:               2618                10642312            3071.28             
3729:               2624                10644937            3160.39             
3730:               2639                10647577            3102.97             
3731:               2718                10650305            3157.58             
3732:               2647                10652953            3177.93             
3733:               2655                10655608            3063.26             
3734:               2632                10658241            3288.51             
3735:               2764                10661005            3247.27             
3736:               2640                10663660            3079.22             
3737:               2764                10666425            3374.61             
3738:               2718                10669151            3242.74             
3739:               2624                10671777            3154.38             
3740:               2616                10674394            3218.92             
3741:               2628                10677022            3248.02             
3742:               2749                10679771            3266.51             
3743:               2671                10682444            3296.07             
3744:               2655                10685099            3213.47             
3745:               2608                10687708            3211.61             
3746:               2718                10690426            3190.64             
3747:               2639                10693066            3272.84             
3748:               2629                10695696            3096.31             
3749:               2645                10698342            3204.71             
3750:               2722                10701064            3132.83             
3751:               2659                10703724            3200.76             
3752:               2655                10706388            3129.04             
3753:               2733                10709122            3159.85             
3754:               2639                10711762            3201.78             
3755:               2624                10714389            3146.29             
3756:               2671                10717061            3157.63             
3757:               2733                10719808            3102.03             
3758:               2686                10722506            3089.35             
3759:               2639                10725145            3157.4              
3760:               2758                10727904            3212.04             
3761:               2780                10730684            3270.04             
3762:               2659                10733344            3249.29             
3763:               2639                10735984            3142.33             
3764:               2738                10738729            3258.33             
3765:               2665                10741395            3088.59             
3766:               2640                10744035            3149.0              
3767:               2597                10746632            3329.47             
3768:               2737                10749370            3125.99             
3769:               2628                10751998            3233.13             
3770:               2671                10754672            3034.85             
3771:               2659                10757331            3240.58             
3772:               2702                10760038            3228.17             
3773:               2628                10762666            3234.31             
3774:               2655                10765321            3164.99             
3775:               2624                10767946            3235.81             
3776:               2733                10770680            3094.42             
3777:               2630                10773310            3240.38             
3778:               2625                10775936            3343.21             
3779:               2671                10778616            3303.34             
3780:               2718                10781334            3168.04             
3781:               2648                10783982            3204.51             
3782:               2784                10786767            3343.14             
3783:               2694                10789464            3331.36             
3784:               2643                10792107            3118.03             
3785:               2628                10794736            3270.65             
3786:               2640                10797376            3179.24             
3787:               2721                10800098            3162.8              
3788:               2628                10802726            3082.85             
3789:               2628                10805354            3235.84             
3790:               2624                10807979            3228.36             
3791:               2749                10810728            3108.43             
3792:               2625                10813359            3131.68             
3793:               2640                10815999            3220.29             
3794:               2686                10818696            3101.9              
3795:               2686                10821383            3107.94             
3796:               2624                10824008            3107.16             
3797:               2608                10826616            3233.41             
3798:               2729                10829346            3184.75             
3799:               2640                10831986            3212.7              
3800:               2643                10834630            3117.28             
3801:               2640                10837270            3198.29             
3802:               2768                10840044            3203.12             
3803:               2624                10842683            3277.12             
3804:               2616                10845300            3268.21             
3805:               2767                10848067            3204.48             
3806:               2735                10850802            3165.39             
3807:               2598                10853400            3201.58             
3808:               2655                10856056            3179.91             
3809:               2690                10858747            3214.86             
3810:               2643                10861390            3326.39             
3811:               2639                10864030            3088.11             
3812:               2659                10866695            3172.26             
3813:               2733                10869435            3141.37             
3814:               2671                10872106            3240.73             
3815:               2648                10874757            3108.88             
3816:               2624                10877381            3186.28             
3817:               2741                10880123            3132.22             
3818:               2627                10882755            3241.76             
3819:               2664                10885420            3186.82             
3820:               2628                10888048            3041.56             
3821:               2753                10890801            3323.21             
3822:               2608                10893410            3059.46             
3823:               2616                10896027            3275.62             
3824:               2671                10898698            3191.35             
3825:               2733                10901432            3193.29             
3826:               2647                10904079            3311.07             
3827:               2764                10906844            3114.76             
3828:               2753                10909597            3119.25             
3829:               2612                10912210            3178.85             
3830:               2644                10914861            3193.25             
3831:               2639                10917500            3285.18             
3832:               2753                10920254            3177.27             
3833:               2671                10922925            3241.72             
3834:               2643                10925569            3328.07             
3835:               2659                10928228            3178.61             
3836:               2722                10930960            3100.39             
3837:               2624                10933584            3145.47             
3838:               2628                10936212            3054.76             
3839:               2767                10938995            3210.06             
3840:               2688                10941683            3250.69             
3841:               2647                10944331            3085.05             
3842:               2643                10946975            3118.15             
3843:               2738                10949726            3301.7              
3844:               2624                10952366            3189.72             
3845:               2655                10955022            3064.22             
3846:               2624                10957654            3262.51             
3847:               2718                10960372            3121.54             
3848:               2655                10963028            3106.44             
3849:               2698                10965727            3158.61             
3850:               2740                10968467            3293.04             
3851:               2764                10971232            3072.37             
3852:               2675                10973907            3120.05             
3853:               2608                10976528            3267.57             
3854:               2737                10979265            3205.85             
3855:               2613                10981879            3274.85             
3856:               2632                10984511            3245.87             
3857:               2643                10987155            3235.44             
3858:               2718                10989873            3194.82             
3859:               2655                10992529            3189.19             
3860:               2608                10995138            3298.06             
3861:               2624                10997773            3084.49             
3862:               2749                11000522            3163.34             
3863:               2624                11003154            3210.87             
3864:               2640                11005794            3023.87             
3865:               2624                11008419            3123.81             
3866:               2726                11011145            3207.34             
3867:               2612                11013758            3109.32             
3868:               2624                11016382            3160.16             
3869:               2737                11019120            3335.75             
3870:               2624                11021744            3202.21             
3871:               2640                11024389            3226.24             
3872:               2835                11027225            3335.98             
3873:               2718                11029944            3082.05             
3874:               2648                11032592            3157.93             
3875:               2640                11035232            3298.75             
3876:               2612                11037845            3176.71             
3877:               2749                11040594            3135.73             
3878:               2612                11043207            3123.32             
3879:               2608                11045816            3120.13             
3880:               2632                11048464            3092.0              
3881:               2718                11051182            3177.54             
3882:               2632                11053814            3222.3              
3883:               2628                11056442            3312.11             
3884:               2764                11059216            3218.1              
3885:               2597                11061826            3065.75             
3886:               2639                11064466            3237.61             
3887:               2620                11067086            3261.01             
3888:               2749                11069835            3266.13             
3889:               2639                11072475            3290.45             
3890:               2624                11075100            3174.88             
3891:               2624                11077724            3165.04             
3892:               2749                11080473            3145.48             
3893:               2671                11083145            3216.15             
3894:               2671                11085816            3379.73             
3895:               2733                11088550            3160.18             
3896:               2761                11091311            3285.33             
3897:               2614                11093925            3161.84             
3898:               2643                11096569            3153.05             
3899:               2733                11099303            3133.42             
3900:               2643                11101947            3133.7              
3901:               2611                11104558            3272.98             
3902:               2598                11107157            3082.25             
3903:               2768                11109926            3201.66             
3904:               2639                11112566            3203.96             
3905:               2628                11115194            3204.44             
3906:               2671                11117865            3265.82             
3907:               2722                11120588            3200.9              
3908:               2642                11123246            3278.95             
3909:               2688                11125935            3104.27             
3910:               2655                11128590            3058.08             
3911:               2796                11131386            3241.45             
3912:               2639                11134026            3277.14             
3913:               2624                11136651            3212.79             
3914:               2702                11139353            3175.92             
3915:               2655                11142009            3096.01             
3916:               2612                11144625            3132.53             
3917:               2804                11147436            3164.03             
3918:               2741                11150187            3162.39             
3919:               2640                11152828            3123.53             
3920:               2611                11155439            3143.64             
3921:               2641                11158081            3105.38             
3922:               2753                11160834            3091.75             
3923:               2628                11163462            3201.95             
3924:               2612                11166075            3169.7              
3925:               2655                11168730            3174.46             
3926:               2702                11171433            3196.05             
3927:               2639                11174073            3112.14             
3928:               2608                11176682            3160.92             
3929:               2764                11179447            3245.61             
3930:               2624                11182071            3163.54             
3931:               2639                11184711            3172.09             
3932:               2655                11187367            3142.81             
3933:               2727                11190096            3205.54             
3934:               2643                11192739            3177.63             
3935:               2659                11195400            3135.84             
3936:               2686                11198087            3053.33             
3937:               2784                11200872            3167.57             
3938:               2686                11203559            3162.53             
3939:               2800                11206359            3152.59             
3940:               2737                11209096            3288.88             
3941:               2706                11211803            3210.47             
3942:               2640                11214454            3248.46             
3943:               2615                11217070            3226.45             
3944:               2734                11219805            3271.02             
3945:               2643                11222450            3229.02             
3946:               2643                11225094            3227.95             
3947:               2612                11227713            3368.02             
3948:               2749                11230463            3157.8              
3949:               2675                11233138            3169.48             
3950:               2639                11235778            3173.3              
3951:               2675                11238454            3228.7              
3952:               2741                11241195            3255.76             
3953:               2675                11243870            3240.14             
3954:               2671                11246541            3226.23             
3955:               2737                11249279            3134.5              
3956:               2686                11251966            3186.62             
3957:               2635                11254608            3292.39             
3958:               2628                11257237            3223.84             
3959:               2737                11259983            3200.81             
3960:               2689                11262672            3151.05             
3961:               2691                11265363            3191.9              
3962:               2735                11268099            3194.22             
3963:               2783                11270882            3058.88             
3964:               2660                11273543            3145.99             
3965:               2612                11276156            3270.09             
3966:               2608                11278778            3214.3              
3967:               2778                11281556            3130.81             
3968:               2712                11284269            3191.03             
3969:               2659                11286928            3137.17             
3970:               2768                11289697            3135.86             
3971:               2628                11292326            3189.97             
3972:               2643                11294985            3232.8              
3973:               2690                11297676            3228.46             
3974:               2749                11300425            3196.82             
3975:               2663                11303088            3115.32             
3976:               2632                11305729            3204.15             
3977:               2643                11308387            3150.53             
3978:               2720                11311108            3005.75             
3979:               2689                11313797            3226.82             
3980:               2659                11316456            3240.75             
3981:               2655                11319112            3151.17             
3982:               2780                11321892            3158.98             
3983:               2632                11324525            3123.84             
3984:               2796                11327322            3145.37             
3985:               2753                11330076            3108.04             
3986:               2655                11332731            3068.49             
3987:               2647                11335379            3176.81             
3988:               2655                11338035            3122.08             
3989:               2726                11340761            3204.04             
3990:               2642                11343404            3118.8              
3991:               2610                11346014            3219.94             
3992:               2659                11348683            3065.36             
3993:               2727                11351412            3284.99             
3994:               2628                11354040            3190.32             
3995:               2654                11356695            3184.73             
3996:               2721                11359417            3323.72             
3997:               2640                11362057            3265.54             
3998:               2647                11364705            3239.89             
3999:               2624                11367329            3221.33             
4000:               2768                11370105            3143.25             
4001:               2675                11372780            3132.04             
4002:               2664                11375445            3230.58             
4003:               2675                11378122            3203.45             
4004:               2733                11380866            3211.91             
4005:               2659                11383525            3144.27             
4006:               2738                11386264            3093.34             
4007:               2728                11388992            3191.61             
4008:               2723                11391719            3135.36             
4009:               2624                11394343            3150.98             
4010:               2628                11396972            3255.47             
4011:               2706                11399678            3130.85             
4012:               2640                11402318            3164.78             
4013:               2643                11404962            3238.97             
4014:               2628                11407590            3206.12             
4015:               2721                11410312            3153.49             
4016:               2659                11412981            3155.63             
4017:               2628                11415609            3242.44             
4018:               2647                11418257            3362.58             
4019:               2722                11420985            3253.67             
4020:               2628                11423620            3193.11             
4021:               2659                11426280            3196.43             
4022:               2624                11428904            3271.87             
4023:               2710                11431614            3093.66             
4024:               2624                11434239            3225.25             
4025:               2675                11436927            3064.89             
4026:               2702                11439638            3094.02             
4027:               2658                11442297            3184.28             
4028:               2655                11444952            3187.36             
4029:               2757                11447710            3140.57             
4030:               2726                11450436            3155.31             
