Monte Carlo initialized
	Thrust varience frequency: 50
	Thrust varience: 100
	Drag deviation: 0.016

Wind:
Pink wind
----------------
alpha: 6.993
alt0: 30.000
speed0: 5.000
direction: 1.858

Iteration           Delta [ms]          Time [ms]           Apogee [m]          
278:                2624                792237              3182.52             
279:                2675                794912              3206.11             
280:                2764                797677              3178.88             
281:                2616                800293              3264.11             
282:                2639                802933              3194.5              
283:                2612                805546              3142.02             
284:                2723                808269              3230.98             
285:                2639                810909              3143.08             
286:                2640                813549              3150.59             
287:                2718                816267              3203.92             
288:                2624                818891              3206.8              
289:                2655                821547              3161.92             
290:                2608                824156              3221.56             
291:                2749                826905              3224.86             
292:                2624                829530              3100.23             
293:                2640                832170              3202.91             
294:                2662                834832              3248.8              
295:                2781                837613              3168.1              
296:                2706                840320              3187.21             
297:                2643                842964              3177.4              
298:                3373                846337              3121.34             
299:                2663                849001              3207.88             
300:                2632                851633              3194.72             
301:                2641                854274              3193.51             
302:                2753                857028              3247.72             
303:                2655                859683              3171.31             
304:                2676                862359              3197.52             
305:                2655                865015              3318.17             
306:                2739                867754              3139.69             
307:                2624                870379              3255.46             
308:                2639                873019              3268.79             
309:                2655                875674              3277.02             
310:                2749                878424              3129.52             
311:                2646                881070              3177.8              
312:                2632                883702              3248.67             
313:                2722                886424              3180.29             
314:                2624                889049              3189.83             
315:                2676                891726              3163.83             
316:                2639                894365              3343.05             
317:                2779                897145              3093.66             
318:                2663                899809              3097.28             
319:                2644                902453              3291.86             
320:                2753                905207              3128.88             
321:                2722                907929              3116.99             
322:                2630                910560              3134.87             
323:                2641                913201              3102.18             
324:                2710                915911              3247.07             
325:                2690                918602              3300.75             
326:                2624                921227              3276.7              
327:                2643                923871              3300.42             
328:                2728                926599              3245.25             
329:                2643                929243              3206.86             
330:                2615                931858              3255.87             
331:                2656                934515              3010.36             
332:                2753                937268              3183.29             
333:                2671                939939              3396.56             
334:                2675                942614              3155.06             
335:                2640                945254              3136.56             
336:                2777                948031              3224.32             
337:                2643                950675              3047.15             
338:                2643                953319              3165.23             
339:                2798                956118              3245.88             
340:                2638                958756              3096.06             
341:                2648                961405              3162.85             
342:                2644                964050              3172.31             
343:                2836                966886              3130.68             
344:                2649                969536              3113.85             
345:                2675                972211              3118.05             
346:                2640                974851              3165.9              
347:                576017              1550868             3128.21             
348:                2912                1553780             3312.99             
349:                2820                1556601             3191.9              
350:                2668                1559269             3206.35             
351:                2668                1561938             3256.32             
352:                3303                1565242             3115.6              
353:                5241                1570483             3200.97             
354:                3238                1573722             3277.98             
355:                2792                1576514             3068.03             
356:                25745               1602260             3164.03             
357:                2814                1605075             3162.22             
358:                2675                1607750             3204.33             
359:                2771                1610522             3162.91             
360:                3374                1613897             3151.96             
361:                3166                1617063             3183.44             
362:                2795                1619858             3174.78             
363:                2953                1622812             3117.07             
364:                2938                1625751             3339.75             
365:                4104                1629855             3236.74             
366:                3359                1633215             3315.54             
367:                3016                1636231             3173.57             
368:                3198                1639430             3215.66             
369:                3500                1642930             3066.22             
370:                2704                1645634             3165.08             
371:                2696                1648331             3302.95             
372:                2730                1651061             3253.28             
373:                2719                1653780             3214.71             
374:                2768                1656549             3196.86             
375:                2768                1659318             3116.87             
376:                2924                1662243             3223.03             
377:                2971                1665214             3220.28             
378:                2671                1667886             3079.87             
379:                2800                1670686             3235.85             
380:                2718                1673404             3233.84             
381:                2710                1676114             3173.48             
382:                2690                1678805             3278.67             
383:                2862                1681667             3102.1              
384:                2655                1684323             3201.65             
385:                2636                1686960             3185.35             
386:                2758                1689718             3098.82             
387:                2648                1692366             3123.22             
388:                2640                1695023             3214.61             
389:                2648                1697671             3295.04             
390:                2768                1700440             3139.36             
391:                2763                1703203             3095.15             
392:                2694                1705898             3218.33             
393:                2640                1708538             3103.67             
394:                3033                1711571             3278.58             
395:                3153                1714725             3201.53             
396:                2754                1717480             3249.44             
397:                2810                1720290             3207.94             
398:                2675                1722965             3207.24             
399:                2826                1725791             3250.77             
400:                2649                1728441             3064.34             
401:                2762                1731219             3288.43             
402:                2674                1733894             3210.83             
403:                2675                1736569             3138.93             
404:                2771                1739340             3185.87             
405:                2663                1742003             3149.28             
406:                2630                1744634             3187.17             
407:                2665                1747299             3129.31             
408:                2738                1750038             3234.71             
409:                2643                1752682             3162.15             
410:                2675                1755357             3228.12             
411:                2644                1758001             3117.01             
412:                2763                1760764             3253.04             
413:                2649                1763414             3149.75             
414:                2640                1766054             3041.4              
415:                2694                1768749             3149.08             
416:                2725                1771474             3175.13             
417:                2641                1774115             3188.95             
418:                2636                1776752             3207.46             
419:                2727                1779479             3213.6              
420:                2659                1782139             3234.43             
421:                2828                1784967             3266.44             
422:                2644                1787611             3194.6              
423:                2722                1790333             3147.79             
424:                2651                1792985             3102.85             
425:                2624                1795609             3259.59             
426:                2647                1798272             3152.31             
427:                2749                1801021             3326.05             
428:                2612                1803634             3231.89             
429:                2659                1806294             3245.85             
430:                2759                1809053             3258.7              
431:                2645                1811698             3284.85             
432:                2624                1814322             3071.28             
433:                2680                1817002             3241.76             
434:                2749                1819752             3117.66             
435:                2628                1822380             3105.66             
436:                2635                1825016             3214.51             
437:                2672                1827688             3171.19             
438:                2721                1830410             3247.33             
439:                2667                1833078             3307.38             
440:                2659                1835737             3244.53             
441:                2655                1838393             3227.2              
442:                2744                1841137             3174.41             
443:                2675                1843812             3148.53             
444:                2788                1846601             3193.27             
445:                2771                1849373             3300.55             
446:                2659                1852032             3132.44             
447:                2671                1854704             3032.6              
448:                2628                1857332             3299.71             
449:                2749                1860081             3191.5              
450:                2643                1862725             3084.88             
451:                2639                1865365             3157.26             
452:                2644                1868009             3075.28             
453:                2752                1870762             3285.66             
454:                2639                1873402             3137.05             
455:                2648                1876051             3143.49             
456:                2643                1878695             3162.52             
457:                2753                1881448             3134.83             
458:                2673                1884122             3192.03             
459:                2656                1886779             3198.29             
460:                2768                1889547             3147.56             
461:                2655                1892203             3533.43             
462:                2634                1894838             3316.58             
463:                2641                1897479             3321.27             
464:                2737                1900216             3155.76             
465:                2655                1902872             3251.5              
466:                2795                1905668             3217.81             
467:                2645                1908313             3256.74             
468:                2761                1911074             3047.57             
469:                2624                1913699             3277.11             
470:                2628                1916327             3285.18             
471:                2718                1919045             3203.16             
472:                2665                1921711             3115.37             
473:                2676                1924387             3180.91             
474:                2632                1927019             3173.28             
475:                2725                1929744             3283.18             
476:                2643                1932388             3294.7              
477:                2655                1935044             3070.65             
478:                2643                1937688             3141.65             
479:                2722                1940410             3230.44             
480:                2647                1943058             3333.86             
481:                2663                1945721             3035.87             
482:                2655                1948377             3193.86             
483:                2755                1951132             3213.54             
484:                2655                1953788             3188.92             
485:                2628                1956416             3243.92             
486:                2706                1959122             3190.61             
487:                2679                1961801             3162.75             
488:                2690                1964492             3101.71             
489:                2720                1967213             3126.63             
490:                2792                1970006             3101.64             
491:                2628                1972634             3154.75             
492:                2630                1975265             3175.19             
493:                2645                1977926             3186.11             
494:                2733                1980660             3164.7              
495:                2659                1983319             3132.58             
496:                2655                1985975             3243.7              
497:                2659                1988634             3221.36             
498:                2754                1991389             3104.85             
499:                2667                1994057             3130.56             
500:                2624                1996681             3263.07             
501:                2785                1999466             3243.68             
502:                2624                2002091             3154.53             
503:                2643                2004735             3179.79             
504:                2642                2007377             3193.51             
505:                2758                2010136             3179.21             
506:                2628                2012764             3236.93             
507:                2655                2015420             3187.88             
508:                2624                2018044             3196.77             
509:                2754                2020798             3170.83             
510:                2655                2023454             3277.18             
511:                2772                2026226             3147.3              
512:                2639                2028866             3135.17             
513:                2720                2031587             3089.16             
514:                2655                2034242             3453.21             
515:                2659                2036902             3252.98             
516:                2722                2039624             3348.08             
517:                2616                2042256             3170.83             
518:                2648                2044904             3177.15             
519:                2628                2047549             3175.23             
520:                2776                2050325             3043.47             
521:                2639                2052965             3242.84             
522:                2648                2055614             3177.83             
523:                2624                2058238             3244.51             
524:                2741                2060980             3078.68             
525:                2644                2063624             3197.23             
526:                2643                2066268             3166.52             
527:                2675                2068943             3314.2              
528:                2737                2071681             3184.31             
529:                2655                2074336             3151.91             
530:                2647                2076984             3271.95             
531:                2724                2079709             3247.3              
532:                2655                2082364             3198.93             
533:                2800                2085165             3152.96             
534:                2625                2087790             3170.6              
535:                2716                2090507             3208.11             
536:                2643                2093150             3299.01             
537:                2659                2095810             3271.13             
538:                2624                2098434             3130.76             
539:                2737                2101172             3145.06             
540:                2655                2103828             3223.49             
541:                2615                2106443             3115.51             
542:                2629                2109073             3118.75             
543:                2737                2111810             3159.91             
544:                2628                2114439             3175.51             
545:                2643                2117083             3315.4              
546:                2755                2119838             3243.52             
547:                2656                2122495             3149.48             
548:                2635                2125131             3197.94             
549:                2640                2127771             3231.89             
550:                2733                2130505             3203.69             
551:                2640                2133145             3232.78             
552:                2639                2135785             3237.13             
553:                2624                2138409             3207.04             
554:                2751                2141160             3186.51             
